timestamp,cpu,memory,disk,model_loss,accuracy
2026-01-22T01:04:02.434707,5,0.07921877267442433,29.5,82.4,2.2
2026-01-22T01:05:46.814710,1,0.07895381502819307,14.4,79.7,2.2
2026-01-22T01:05:47.820815,2,0.07869641299145397,22.1,79.6,2.2
2026-01-22T01:05:48.824986,3,0.07844603807079584,21.1,79.6,2.2
2026-01-22T01:05:49.832779,4,0.07820220250187439,16.0,79.7,2.2
2026-01-22T01:05:50.837636,5,0.07796445605168027,24.8,80.0,2.2
2026-01-22T01:07:39.781186,1,0.09310264472018998,10.2,75.3,2.2
2026-01-22T01:07:40.788995,2,0.09269547913580917,14.7,75.4,2.2
2026-01-22T01:07:41.797347,3,0.09229939301504682,16.3,75.4,2.2
2026-01-22T01:07:42.805610,4,0.09191359624989513,17.6,75.4,2.2
2026-01-22T01:07:43.838772,5,0.09153736082376623,28.9,75.8,2.2
2026-01-22T01:09:21.452333,1,0.0814531574072393,17.8,76.9,2.2
2026-01-22T01:09:22.463004,2,0.08117972589505208,25.4,76.9,2.2
2026-01-22T01:09:23.475245,3,0.08091162536866263,18.6,76.8,2.2
2026-01-22T01:09:24.481292,4,0.08064959431501732,20.8,76.9,2.2
2026-01-22T01:09:25.486810,5,0.08039323138505176,28.5,77.2,2.2
2026-01-22T01:10:38.598528,1,0.07552692015020453,17.4,86.6,2.2
2026-01-22T01:10:39.608373,2,0.07526640488755555,22.7,86.6,2.2
2026-01-22T01:10:40.612942,3,0.07501204018181007,24.0,87.9,2.2
2026-01-22T01:10:41.617879,4,0.0747634030675421,16.7,88.4,2.2
2026-01-22T01:10:42.623835,5,0.07452010294371321,37.1,88.7,2.2
2026-01-24T20:26:10.462208,1,0.14085405401867732,27.1,83.7,2.2
2026-01-24T20:26:11.495354,2,0.13701535333779025,47.8,84.1,2.2
2026-01-24T20:26:12.503598,3,0.13340445147974597,51.9,84.7,2.2
2026-01-24T20:26:13.511643,4,0.12999310009741724,62.2,84.7,2.2
2026-01-24T20:26:14.639594,5,0.12669102455940387,100.0,85.1,2.2
