timestamp,cpu,memory,disk,model_loss,accuracy
2026-01-18T10:00:00,25.5,42.3,35.1,0.245,92.5
2026-01-18T10:01:00,26.2,42.8,35.1,0.238,92.7
2026-01-18T10:02:00,24.8,41.9,35.1,0.231,92.9
2026-01-18T01:34:32.731907,1,5746902462117132.0,27.3,87.0,1.7
2026-01-18T01:34:33.739065,2,7.765569269347046e+23,8.6,86.9,1.7
2026-01-18T01:34:34.745133,3,1.1118130794268525e+32,34.4,86.0,1.7
2026-01-18T01:40:41.393447,1,5746902462117132.0,12.6,82.0,1.7
2026-01-18T01:40:42.402030,2,7.765569269347046e+23,13.0,82.2,1.7
2026-01-18T01:40:43.407204,3,1.1118130794268525e+32,1.6,82.1,1.7
2026-01-18T01:50:47.993887,1,592576617145.7583,29.0,91.1,2.0
2026-01-18T01:50:49.012945,2,8.320870273033639e+19,27.8,91.3,2.0
2026-01-18T01:50:50.017818,3,1.2272216490229807e+28,32.6,91.3,2.0
2026-01-18T01:50:51.024953,4,1.890461597820988e+36,34.1,91.3,2.0
2026-01-18T01:50:52.029653,5,3.0177768560308987e+44,27.6,91.3,2.0
2026-01-18T02:02:13.456843,1,592576617145.7583,50.0,91.3,2.0
2026-01-18T02:02:14.462202,2,8.320870273033639e+19,20.2,91.2,2.0
2026-01-18T02:02:15.468140,3,1.2272216490229807e+28,21.1,91.3,2.0
2026-01-18T02:02:16.471207,4,1.890461597820988e+36,31.0,91.3,2.0
2026-01-18T02:02:17.476862,5,3.0177768560308987e+44,14.6,91.3,2.0
2026-01-18T02:15:14.269265,1,0.14085405401867732,17.1,86.2,2.0
2026-01-18T02:15:15.276571,2,0.13701535333779025,25.4,86.1,2.0
2026-01-18T02:15:32.453938,1,0.14085405401867732,34.4,86.5,2.0
2026-01-18T02:15:33.467152,2,0.13701535333779025,39.8,86.4,2.0
2026-01-18T02:18:21.610175,1,0.14085405401867732,20.9,87.1,2.0
2026-01-18T02:18:22.619826,2,0.13701535333779025,32.1,87.2,2.0
2026-01-18T02:18:23.623049,3,0.13340445147974597,31.2,87.2,2.0
2026-01-18T02:18:24.626967,4,0.12999310009741724,16.2,87.2,2.0
2026-01-18T02:18:25.630975,5,0.12669102455940387,35.1,87.3,2.0
2026-01-21T13:51:09.422823,1,0.14085405401867732,29.5,76.6,2.2
2026-01-21T13:51:10.428801,2,0.13701535333779025,29.0,76.8,2.2
2026-01-21T13:51:11.437005,3,0.13340445147974597,27.7,76.9,2.2
2026-01-21T13:51:12.441150,4,0.12999310009741724,41.7,77.3,2.2
2026-01-21T13:51:13.444076,5,0.12669102455940387,66.7,77.8,2.2
2026-01-21T13:53:10.475696,1,0.122648693304843,29.5,81.1,2.2
2026-01-21T13:53:11.480008,2,0.12048054339863153,19.9,80.5,2.2
2026-01-21T13:53:12.484362,3,0.11841304758541771,59.2,80.4,2.2
2026-01-21T13:53:13.491761,4,0.11645694679300618,44.6,80.7,2.2
2026-01-21T13:53:14.495738,5,0.11458993376061455,31.5,80.8,2.2
2026-01-21T14:06:44.552767,1,0.14085405401867732,35.7,84.5,2.2
2026-01-21T14:06:45.557591,2,0.13701535333779025,76.0,85.5,2.2
2026-01-21T14:06:46.570826,3,0.13340445147974597,16.3,84.7,2.2
2026-01-21T14:06:47.577545,4,0.12999310009741724,39.5,84.8,2.2
2026-01-21T14:06:48.597350,5,0.12669102455940387,68.4,85.0,2.2
2026-01-21T14:18:50.744897,1,0.14085405401867732,19.5,86.7,2.2
2026-01-21T14:18:51.761417,2,0.13701535333779025,32.6,86.8,2.2
2026-01-21T14:18:52.765003,3,0.13340445147974597,36.2,86.7,2.2
2026-01-21T14:18:53.768906,4,0.12999310009741724,18.3,86.5,2.2
2026-01-21T14:18:54.773035,5,0.12669102455940387,45.4,86.5,2.2
2026-01-21T14:20:38.227210,1,0.14085405401867732,67.4,82.0,2.2
2026-01-21T14:20:39.242341,2,0.13701535333779025,87.9,82.6,2.2
2026-01-21T14:20:40.258666,3,0.13340445147974597,74.8,82.8,2.2
2026-01-21T14:20:41.279434,4,0.12999310009741724,45.0,83.1,2.2
2026-01-21T14:20:42.282815,5,0.12669102455940387,23.8,83.1,2.2
2026-01-21T14:20:54.365237,1,0.122648693304843,21.5,83.2,2.2
2026-01-21T14:20:55.376038,2,0.12048054339863153,41.5,83.4,2.2
2026-01-21T14:20:56.379462,3,0.11841304758541771,36.9,83.3,2.2
2026-01-21T14:20:57.383297,4,0.11645694679300618,19.7,83.2,2.2
2026-01-21T14:20:58.395433,5,0.11458993376061455,52.2,83.5,2.2
2026-01-21T14:21:21.030117,1,0.11462867869622982,20.3,82.5,2.2
2026-01-21T14:21:22.033366,2,0.11242277610057978,36.2,82.5,2.2
2026-01-21T14:21:23.038023,3,0.11032435843911664,34.4,82.5,2.2
2026-01-21T14:21:24.043851,4,0.1083248011317578,24.6,82.5,2.2
2026-01-21T14:21:25.047559,5,0.1064328527817724,50.4,83.0,2.2
2026-01-21T14:24:44.896360,1,0.0905280568487583,34.1,86.7,2.2
2026-01-21T14:24:45.901082,2,0.08905412555074281,66.4,87.6,2.2
2026-01-21T14:24:46.905304,3,0.08768572324747063,41.9,88.4,2.2
2026-01-21T14:24:47.908782,4,0.08641448037531202,22.5,88.6,2.2
2026-01-21T14:24:48.932623,5,0.08522250891894452,33.8,88.9,2.2
2026-01-22T00:48:38.650056,1,0.14085405401867732,9.3,84.8,2.2
2026-01-22T00:48:39.663109,2,0.13701535333779025,18.6,84.8,2.2
2026-01-22T00:48:40.670377,3,0.13340445147974597,13.2,84.8,2.2
2026-01-22T00:48:41.675711,4,0.12999310009741724,12.2,84.8,2.2
2026-01-22T00:48:42.702406,5,0.12669102455940387,26.7,85.2,2.2
2026-01-22T00:49:40.408517,1,0.1277724337961261,58.3,86.3,2.2
2026-01-22T00:49:41.418773,2,0.12453048700404847,29.8,86.3,2.2
2026-01-22T00:49:42.424394,3,0.12151424798999803,41.9,86.3,2.2
2026-01-22T00:49:43.431204,4,0.11862692256101,18.3,86.3,2.2
2026-01-22T00:49:44.438489,5,0.1159535143653654,9.4,86.2,2.2
2026-01-22T00:49:57.724141,1,0.10163731988903608,33.8,89.0,2.2
2026-01-22T00:49:58.729983,2,0.09927658978192795,23.3,88.9,2.2
2026-01-22T00:49:59.737202,3,0.09705692891739463,19.8,85.9,2.2
2026-01-22T00:50:00.742917,4,0.09499453279577914,20.8,85.0,2.2
2026-01-22T00:50:01.746783,5,0.09308790100459187,41.8,85.3,2.2
2026-01-22T00:50:13.458452,1,0.09220575971992256,15.6,83.5,2.2
2026-01-22T00:50:14.467713,2,0.09102600368207492,14.0,83.5,2.2
2026-01-22T00:50:15.471671,3,0.08992191350186757,19.2,83.3,2.2
2026-01-22T00:50:16.476945,4,0.08888776461566113,16.8,83.3,2.2
2026-01-22T00:50:17.495723,5,0.08791826846400645,25.6,83.5,2.2
2026-01-22T00:53:46.835511,1,0.11037119482712092,18.8,88.3,2.2
2026-01-22T00:53:47.842189,2,0.10857042144970501,51.2,85.5,2.2
2026-01-22T00:53:48.846181,3,0.10687688779926048,35.9,85.5,2.2
2026-01-22T00:53:49.850685,4,0.10529227433406023,13.3,85.1,2.2
2026-01-22T00:53:50.859093,5,0.1038103546211525,21.9,85.4,2.2
2026-01-22T00:54:12.703730,1,0.09201516653501336,52.7,84.8,2.2
2026-01-22T00:54:13.712019,2,0.09116211906497029,40.2,84.8,2.2
2026-01-22T00:54:14.718061,3,0.09036136439824595,18.9,84.8,2.2
2026-01-22T00:54:15.724468,4,0.08960882100838864,13.4,84.8,2.2
2026-01-22T00:54:16.732734,5,0.08890072912308673,18.8,84.7,2.2
2026-01-22T01:00:06.521191,1,0.0890594580647726,62.9,85.5,2.2
2026-01-22T01:00:07.534091,2,0.08854927060520985,26.7,85.6,2.2
2026-01-22T01:00:08.541026,3,0.08806181805612777,22.9,85.5,2.2
2026-01-22T01:00:09.551200,4,0.0875953666549762,23.1,85.5,2.2
2026-01-22T01:00:10.585126,5,0.08714832053318909,73.5,85.6,2.2
2026-01-22T01:01:36.679778,1,0.08671921067849529,19.7,82.7,2.2
2026-01-22T01:01:37.687797,2,0.08630668478316193,14.7,82.7,2.2
2026-01-22T01:01:38.708156,3,0.0859094979069507,21.1,82.7,2.2
2026-01-22T01:01:39.731514,4,0.08552650388929817,50.7,84.4,2.2
2026-01-22T01:01:40.736541,5,0.08515664745050107,36.6,84.6,2.2
2026-01-22T01:01:46.700288,1,0.07791502078778473,19.7,82.6,2.2
2026-01-22T01:01:47.705528,2,0.0775380385080591,18.0,82.5,2.2
2026-01-22T01:01:48.709073,3,0.0771772292404775,22.4,82.3,2.2
2026-01-22T01:01:49.717299,4,0.07683139627680485,23.8,82.3,2.2
2026-01-22T01:01:50.721819,5,0.0764994348342898,15.5,82.5,2.2
2026-01-22T01:03:58.410981,1,0.08036615962330193,27.1,80.2,2.2
2026-01-22T01:03:59.422098,2,0.08006495019033621,51.9,80.3,2.2
2026-01-22T01:04:00.425649,3,0.0797736935508471,43.8,81.5,2.2
2026-01-22T01:04:01.430998,4,0.07949185862554328,27.3,82.3,2.2
